ticker,company_name,year,market_cap,category,sector,industry,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
GEEKAYWIRE,Geekay Wires Ltd,1989,₹343 Cr,Micro Cap,Industrials,Electrical Equipment & Parts,₹66,1.52%,₹63,₹148,3.89%,-55.58%,₹68,₹70,₹81,1.52%,1.44%,-6.00%,-17.96%,-17.91%,-33.91%,346.60%,265.33%,81193,90375,67567,89773,90000,-9.56%,0.67%,-24.74%,-9.79%,0.42%,-24.93%,-0.25%,0.9,₹65,9,7,7,
POLYCAB,Polycab India Ltd,1996,"₹102,506 Cr",Large Cap,Industrials,Electrical Equipment & Parts,"₹6,810",0.78%,"₹4,555","₹7,605",49.51%,-10.45%,"₹6,870","₹6,561","₹6,209",0.78%,-1.67%,0.20%,12.71%,23.64%,6.18%,179.11%,677.00%,522463,290043,393085,334938,564425,55.99%,-13.40%,17.36%,-7.43%,-48.61%,-30.36%,-40.66%,1.6,"₹6,758",46,147,147,
CLEAN,Clean Science and Technology Ltd,2003,"₹12,331 Cr",Mid Cap,Basic Materials,Specialty Chemicals,"₹1,158",-1.45%,"₹1,106","₹1,665",4.66%,-30.43%,"₹1,264","₹1,383","₹1,336",-1.45%,-3.24%,-20.45%,-9.28%,-15.56%,-27.33%,-29.56%,,189566,85733,136048,137019,121682,38.35%,-37.43%,-0.71%,55.79%,-29.54%,11.81%,12.60%,1.4,"₹1,175",46,25,25,
ICEMAKE,Ice Make Refrigeration Ltd,2009,"₹1,141 Cr",Small Cap,Industrials,Specialty Industrial Machinery,₹723,0.13%,₹575,"₹1,089",25.71%,-33.59%,₹782,₹792,₹801,0.13%,-8.03%,-4.87%,-19.48%,1.42%,4.54%,325.04%,,10287,48909,24969,39091,63095,-73.68%,25.12%,-36.13%,-83.70%,-22.48%,-60.43%,-38.04%,0.3,₹722,49,15,15,
EXPLEOSOL,Expleo Solutions Ltd,1998,"₹1,700 Cr",Small Cap,Technology,Information Technology Services,"₹1,093",-0.47%,₹735,"₹1,567",48.64%,-30.27%,"₹1,190","₹1,213","₹1,138",-0.47%,-4.92%,-12.36%,19.96%,-8.83%,-12.72%,-22.64%,191.27%,4557,7229,11588,45148,37787,-89.91%,-83.99%,-74.33%,-87.94%,-80.87%,-69.33%,19.48%,0.1,"₹1,098",16,30,30,
DREAMFOLKS,Dreamfolks Services Ltd,2008,₹770 Cr,Small Cap,Industrials,Airports & Air Services,₹144,5.00%,₹123,₹522,17.46%,-72.33%,₹142,₹194,₹285,5.00%,13.28%,-6.63%,-45.18%,-51.74%,-67.95%,,,97098,206455,179507,606350,459471,-83.99%,-65.95%,-70.40%,-78.87%,-55.07%,-60.93%,31.97%,0.2,₹138,11,13,13,
KOTHARIPET,Kothari Petrochemicals Ltd,1989,₹959 Cr,Small Cap,Basic Materials,Specialty Chemicals,₹163,1.68%,₹132,₹267,23.12%,-39.08%,₹166,₹174,₹173,1.68%,1.88%,-9.14%,-0.85%,0.64%,-6.95%,109.65%,957.79%,47182,70154,63082,75557,84354,-37.55%,-7.15%,-16.51%,-44.07%,-16.83%,-25.22%,-10.43%,0.6,₹160,15,11,11,
SHANTIGEAR,Shanthi Gears Ltd,1972,"₹4,212 Cr",Small Cap,Industrials,Specialty Industrial Machinery,₹552,0.36%,₹399,₹668,38.35%,-17.37%,₹549,₹524,₹496,0.36%,5.14%,8.24%,10.92%,23.89%,-6.65%,141.15%,530.50%,38597,53318,127618,75470,57915,-48.86%,-29.35%,69.10%,-33.36%,-7.94%,120.35%,30.31%,0.5,₹550,44,13,13,
SOLARINDS,Solar Industries India Ltd,1995,"₹132,025 Cr",Large Cap,Basic Materials,Specialty Chemicals,"₹14,590",-2.02%,"₹8,483","₹17,820",72.00%,-18.13%,"₹14,721","₹15,934","₹12,226",-2.02%,-2.21%,-4.10%,5.12%,65.49%,44.97%,341.73%,1315.54%,85158,144330,136944,187608,150497,-54.61%,-23.07%,-27.01%,-43.42%,-4.10%,-9.01%,24.66%,0.5,"₹14,891",105,139,139,
GRINFRA,G R Infraprojects Ltd,1995,"₹12,070 Cr",Mid Cap,Industrials,Engineering & Construction,"₹1,248",0.23%,₹901,"₹1,775",38.48%,-29.71%,"₹1,249","₹1,278","₹1,267",0.23%,-0.18%,-1.86%,9.06%,12.99%,-20.62%,-11.18%,,7877,15338,24262,49898,122597,-84.21%,-69.26%,-51.38%,-93.57%,-87.49%,-80.21%,-59.30%,0.2,"₹1,245",11,114,114,
ASIANPAINT,Asian Paints Ltd,1945,"₹237,553 Cr",Mega Cap,Basic Materials,Specialty Chemicals,"₹2,480",-0.37%,"₹2,125","₹3,395",16.71%,-26.96%,"₹2,415","₹2,360","₹2,347",-0.37%,-0.46%,3.26%,6.43%,10.66%,-17.98%,-29.17%,37.57%,608984,1206052,969300,1159042,1145526,-47.46%,4.06%,-16.37%,-46.84%,5.28%,-15.38%,1.18%,0.5,"₹2,489",66,38,38,
HGINFRA,HG Infra Engineering Ltd,2003,"₹6,477 Cr",Mid Cap,Industrials,Engineering & Construction,₹994,-0.16%,₹929,"₹1,665",7.04%,-40.31%,"₹1,048","₹1,055","₹1,180",-0.16%,-0.25%,-7.22%,-16.18%,-15.05%,-36.78%,67.69%,425.46%,44974,91683,75581,123072,109758,-63.46%,-25.50%,-38.59%,-59.02%,-16.47%,-31.14%,12.13%,0.4,₹996,13,78,78,
BECTORFOOD,Mrs. Bectors Food Specialities Ltd,1995,"₹8,798 Cr",Mid Cap,Consumer Defensive,Packaged Foods,"₹1,425",0.78%,"₹1,276","₹2,200",11.68%,-35.22%,"₹1,497","₹1,435","₹1,522",0.78%,-4.33%,-1.76%,-8.59%,2.26%,0.77%,316.33%,,154330,97918,92151,99396,89916,55.27%,-1.49%,-7.29%,71.64%,8.90%,2.49%,10.54%,1.6,"₹1,414",60,24,24,
INDRAMEDCO,Indraprastha Medical Corporation Ltd,1988,"₹4,269 Cr",Small Cap,Healthcare,Medical Care Facilities,₹468,0.44%,₹307,₹572,52.29%,-18.20%,₹467,₹454,₹439,0.44%,4.68%,-5.43%,10.34%,7.86%,47.91%,620.40%,744.58%,139155,455368,216441,292044,267925,-52.35%,55.92%,-25.89%,-48.06%,69.96%,-19.22%,9.00%,0.5,₹466,26,18,18,
RADIANTCMS,Radiant Cash Management Services Ltd,2005,₹572 Cr,Small Cap,Industrials,Specialty Business Services,₹54,0.87%,₹49,₹90,9.74%,-39.72%,₹58,₹61,₹66,0.87%,-11.16%,-11.08%,-24.65%,-16.55%,-32.12%,,,83805,319120,385935,324388,500027,-74.17%,-1.62%,18.97%,-83.24%,-36.18%,-22.82%,-35.13%,0.3,₹54,13,4,4,
SIGMA,Sigma Solve Ltd,2010,₹380 Cr,Micro Cap,Technology,Information Technology Services,₹380,0.24%,₹210,₹432,80.91%,-11.94%,₹384,₹378,₹330,0.24%,-2.02%,2.94%,21.69%,29.68%,-0.25%,75.32%,,3095,10335,6480,13434,19407,-76.96%,-23.07%,-51.76%,-84.05%,-46.75%,-66.61%,-30.78%,0.2,₹379,19,20,20,
SESHAPAPER,Seshasayee Paper and Boards Ltd,1960,"₹1,690 Cr",Small Cap,Basic Materials,Paper & Paper Products,₹268,-0.81%,₹256,₹373,4.59%,-28.24%,₹278,₹288,₹288,-0.81%,-0.58%,-9.83%,-3.53%,-3.99%,-19.34%,3.18%,80.35%,18166,11161,18826,28141,24372,-35.45%,-60.34%,-33.10%,-25.46%,-54.20%,-22.75%,15.47%,0.6,₹270,18,15,15,
TNPL,Tamilnadu Newsprint & Papers Ltd,1979,"₹1,048 Cr",Small Cap,Basic Materials,Paper & Paper Products,₹152,-1.85%,₹116,₹242,31.76%,-36.99%,₹162,₹165,₹160,-1.85%,-1.35%,-9.31%,1.37%,-4.54%,-34.39%,-37.59%,27.51%,40484,75303,86494,162763,198611,-75.13%,-53.73%,-46.86%,-79.62%,-62.09%,-56.45%,-18.05%,0.2,₹155,,-4,-4,
NH,Narayana Hrudayalaya Ltd,2000,"₹36,738 Cr",Large Cap,Healthcare,Medical Care Facilities,"₹1,808",2.40%,"₹1,171","₹2,370",54.40%,-23.72%,"₹1,904","₹1,926","₹1,605",2.40%,0.03%,-10.49%,0.97%,33.87%,50.75%,161.65%,443.68%,316793,443655,380789,512764,817254,-38.22%,-13.48%,-25.74%,-61.24%,-45.71%,-53.41%,-37.26%,0.6,"₹1,766",47,39,39,
JWL,Jupiter Wagons Ltd,1979,"₹14,030 Cr",Mid Cap,Industrials,Railroads,₹330,-0.15%,₹270,₹588,22.20%,-43.88%,₹350,₹372,₹399,-0.15%,-3.97%,-11.03%,-15.00%,3.79%,-40.80%,451.84%,,584877,535664,464853,1723992,2617725,-66.07%,-68.93%,-73.04%,-77.66%,-79.54%,-82.24%,-34.14%,0.3,₹331,,,,
BAFNAPH,Bafna Pharmaceuticals Ltd,1995,₹218 Cr,Micro Cap,Healthcare,Drug Manufacturers - Specialty & Generic,₹91,-1.16%,₹69,₹95,31.65%,-4.37%,₹88,₹83,₹79,-1.16%,9.26%,6.31%,20.96%,16.61%,6.63%,-23.28%,286.55%,4931,6017,4624,5434,4336,-9.25%,10.74%,-14.90%,13.73%,38.77%,6.65%,25.32%,0.9,₹92,52,2,2,
ACI,Archean Chemical Industries Ltd,2009,"₹8,053 Cr",Mid Cap,Basic Materials,Chemicals,₹648,3.50%,₹408,₹832,58.69%,-22.12%,₹663,₹648,₹614,3.50%,1.50%,-5.69%,7.40%,28.62%,-8.73%,,,221758,206057,206265,184974,420278,19.89%,11.40%,11.51%,-47.24%,-50.97%,-50.92%,-55.99%,1.2,₹626,51,13,13,
SCHNEIDER,Schneider Electric Infrastructure Ltd,2011,"₹20,178 Cr",Large Cap,Industrials,Electrical Equipment & Parts,₹844,-5.00%,₹540,"₹1,052",56.22%,-19.81%,₹937,₹851,₹736,-5.00%,-15.77%,0.09%,33.25%,27.33%,5.58%,611.30%,999.15%,204333,150713,165418,416543,382382,-50.95%,-63.82%,-60.29%,-46.56%,-60.59%,-56.74%,8.93%,0.5,₹888,77,11,11,
GRAVITA,Gravita India Limited,1992,"₹12,974 Cr",Mid Cap,Industrials,Metal Fabrication,"₹1,782",-0.81%,"₹1,380","₹2,700",29.13%,-34.02%,"₹1,789","₹1,791","₹1,928",-0.81%,0.23%,2.98%,-7.19%,-2.73%,-1.60%,417.58%,3369.33%,121503,198529,336897,393399,400305,-69.11%,-49.53%,-14.36%,-69.65%,-50.41%,-15.84%,-1.73%,0.3,"₹1,796",37,48,48,
SWARAJENG,Swaraj Engines Ltd,1985,"₹4,824 Cr",Small Cap,Consumer Cyclical,Auto Parts,"₹3,971",0.45%,"₹2,517","₹4,720",57.77%,-15.87%,"₹4,200","₹4,115","₹3,572",0.45%,-0.77%,-4.80%,-4.07%,32.33%,34.17%,145.75%,156.80%,10412,12513,59505,40012,34488,-73.98%,-68.73%,48.72%,-69.81%,-63.72%,72.54%,16.02%,0.3,"₹3,953",28,142,142,
DPWIRES,D P Wires Ltd,1998,₹320 Cr,Micro Cap,Industrials,Metal Fabrication,₹206,-0.40%,₹186,₹449,10.95%,-54.04%,₹219,₹228,₹272,-0.40%,-3.27%,-8.84%,-6.00%,-24.11%,-50.31%,-22.77%,325.29%,7272,6577,8364,23598,26737,-69.18%,-72.13%,-64.56%,-72.80%,-75.40%,-68.72%,-11.74%,0.3,₹207,14,14,14,
ASHAPURMIN,Ashapura Minechem Ltd,1982,"₹5,197 Cr",Mid Cap,Basic Materials,Other Industrial Metals & Mining,₹544,-2.98%,₹200,₹587,171.39%,-7.33%,₹542,₹470,₹409,-2.98%,4.30%,11.96%,40.82%,14.67%,61.19%,399.08%,1104.87%,608935,458571,683517,546784,431710,11.37%,-16.13%,25.01%,41.05%,6.22%,58.33%,26.66%,1.1,₹561,17,31,31,
JAIBALAJI,Jai Balaji Industries Ltd.,1999,"₹9,493 Cr",Mid Cap,Basic Materials,Steel,₹104,-1.00%,₹99,₹236,5.05%,-55.91%,₹114,₹114,₹144,-1.00%,-4.49%,-14.66%,-7.72%,-29.88%,-42.38%,1008.20%,2407.47%,411397,653509,763026,2100465,1449190,-80.41%,-68.89%,-63.67%,-71.61%,-54.91%,-47.35%,44.94%,0.2,₹105,17,6,6,
KPITTECH,KPIT Technologies Ltd,2018,"₹33,118 Cr",Large Cap,Technology,Software - Infrastructure,"₹1,222",1.91%,"₹1,021","₹1,921",19.73%,-36.39%,"₹1,237","₹1,284","₹1,325",1.91%,1.08%,-3.57%,-12.29%,-11.47%,-30.12%,116.76%,1490.11%,743202,697252,845648,1082745,1203687,-31.36%,-35.60%,-21.90%,-38.26%,-42.07%,-29.75%,-10.05%,0.7,"₹1,199",41,30,30,
DEVIT,Dev Information Technology Ltd,1997,₹249 Cr,Micro Cap,Technology,Information Technology Services,₹110,0.78%,₹94,₹191,17.01%,-42.15%,₹113,₹112,₹129,0.78%,-0.39%,-1.93%,-0.66%,-16.43%,-9.04%,14.52%,,40285,35755,43702,61319,73823,-34.30%,-41.69%,-28.73%,-45.43%,-51.57%,-40.80%,-16.94%,0.7,₹110,17,7,7,
VBL,Varun Beverages Ltd,1995,"₹174,069 Cr",Large Cap,Consumer Defensive,Beverages - Non-Alcoholic,₹513,0.44%,₹420,₹668,22.27%,-23.20%,₹497,₹478,₹532,0.44%,0.96%,11.23%,1.26%,-1.41%,-13.90%,146.81%,653.97%,3513096,4053398,8097231,8104624,8950611,-56.65%,-49.99%,-0.09%,-60.75%,-54.71%,-9.53%,-9.45%,0.4,₹511,60,9,9,
THANGAMAYL,Thangamayil Jewellery Ltd,2000,"₹6,154 Cr",Mid Cap,Consumer Cyclical,Luxury Goods,"₹1,980",0.88%,"₹1,523","₹2,568",30.00%,-22.88%,"₹1,904","₹1,900","₹1,900",0.88%,2.59%,3.42%,3.56%,9.43%,16.54%,263.51%,1118.09%,23845,42413,38846,37011,74706,-35.57%,14.60%,4.96%,-68.08%,-43.23%,-48.00%,-50.46%,0.6,"₹1,963",54,36,36,
BCONCEPTS,Brand Concepts Ltd,2007,₹380 Cr,Micro Cap,Consumer Cyclical,Footwear & Accessories,₹310,1.71%,₹273,₹739,13.47%,-58.05%,₹329,₹341,₹391,1.71%,-5.10%,-9.53%,-14.18%,-20.10%,-45.53%,139.25%,,2487,4184,5450,10657,16516,-76.66%,-60.74%,-48.86%,-84.94%,-74.67%,-67.00%,-35.48%,0.2,₹305,54,6,6,
CREATIVE,Creative Newtech Ltd,2004,₹910 Cr,Small Cap,Technology,Electronics & Computer Distribution,₹645,0.91%,₹605,"₹1,075",6.59%,-40.00%,₹644,₹663,₹784,0.91%,3.10%,1.78%,-13.04%,-26.53%,-5.56%,23.35%,513.70%,4223,5824,20560,19612,24216,-78.47%,-70.30%,4.83%,-82.56%,-75.95%,-15.10%,-19.01%,0.2,₹639,20,32,32,
LTTS,L&T Technology Services Ltd,2012,"₹44,490 Cr",Large Cap,Technology,Information Technology Services,"₹4,192",1.13%,"₹3,966","₹6,000",5.70%,-30.13%,"₹4,283","₹4,340","₹4,694",1.13%,-1.10%,-3.48%,-6.71%,-20.60%,-13.09%,13.99%,167.88%,30204,45636,70538,92723,124778,-67.43%,-50.78%,-23.93%,-75.79%,-63.43%,-43.47%,-25.69%,0.3,"₹4,145",35,120,120,
ELGIEQUIP,ELGI Equipments Ltd,1960,"₹16,440 Cr",Mid Cap,Industrials,Specialty Industrial Machinery,₹521,2.33%,₹401,₹753,29.86%,-30.84%,₹553,₹542,₹528,2.33%,-4.57%,-5.77%,8.30%,-2.89%,-14.86%,21.80%,320.13%,262809,499966,815776,966626,1032599,-72.81%,-48.28%,-15.61%,-74.55%,-51.58%,-21.00%,-6.39%,0.3,₹509,47,11,11,
WELENT,Welspun Enterprises Ltd,1994,"₹6,048 Cr",Mid Cap,Industrials,Engineering & Construction,₹442,0.81%,₹400,₹655,10.59%,-32.46%,₹491,₹508,₹519,0.81%,-7.12%,-15.00%,-10.54%,-20.99%,-22.39%,294.47%,555.89%,475240,267059,147567,242487,218000,95.99%,10.13%,-39.14%,118.00%,22.50%,-32.31%,11.23%,2.0,₹439,17,25,25,
DIXON,Dixon Technologies (India) Ltd,1993,"₹95,599 Cr",Large Cap,Technology,Consumer Electronics,"₹15,823",-1.65%,"₹11,560","₹19,149",36.88%,-17.37%,"₹16,446","₹15,520","₹15,535",-1.65%,-6.09%,-0.54%,-3.71%,7.89%,32.01%,305.75%,896.49%,164396,255045,329882,436729,418324,-62.36%,-41.60%,-24.47%,-60.70%,-39.03%,-21.14%,4.40%,0.4,"₹16,088",70,226,226,
FLUOROCHEM,Gujarat Fluorochemicals Ltd,2018,"₹37,647 Cr",Large Cap,Basic Materials,Specialty Chemicals,"₹3,427",0.05%,"₹3,105","₹4,881",10.37%,-29.79%,"₹3,521","₹3,535","₹3,814",0.05%,-1.97%,0.44%,-11.12%,-8.88%,2.90%,-5.72%,647.21%,61867,277232,138239,116747,103261,-47.01%,137.46%,18.41%,-40.09%,168.48%,33.87%,13.06%,0.5,"₹3,425",61,57,57,
MANYAVAR,Vedant Fashions Ltd,2002,"₹17,881 Cr",Mid Cap,Consumer Cyclical,Apparel Manufacturing,₹736,-1.48%,₹706,"₹1,512",4.21%,-51.32%,₹769,₹788,₹950,-1.48%,-1.83%,-6.88%,-0.37%,-17.74%,-33.89%,-40.32%,,83156,176595,204763,300896,266099,-72.36%,-41.31%,-31.95%,-68.75%,-33.64%,-23.05%,13.08%,0.3,₹747,45,16,16,
