ticker,company_name,year,market_cap,category,sector,industry,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
FINEORG,Fine Organic Industries Ltd,2002,"₹16,020 Cr",Mid Cap,Basic Materials,Chemicals,"₹5,230",-0.96%,"₹3,407","₹5,698",53.51%,-8.21%,"₹5,259","₹5,005","₹4,563",-0.96%,0.00%,0.58%,28.38%,14.51%,1.13%,-10.25%,124.78%,14071,12365,18358,20623,26662,-31.77%,-40.04%,-10.98%,-47.23%,-53.63%,-31.15%,-22.65%,0.7,"₹5,281",39,134,134,
RAINBOW,Rainbow Children's Medicare Ltd,1998,"₹15,245 Cr",Mid Cap,Healthcare,Healthcare Providers & Services,"₹1,500",-0.17%,"₹1,129","₹1,710",32.86%,-12.26%,"₹1,532","₹1,489","₹1,460",-0.17%,-1.65%,-4.65%,12.19%,8.71%,25.55%,216.39%,,369547,176142,206820,202378,222384,82.60%,-12.96%,2.19%,66.17%,-20.79%,-7.00%,-9.00%,1.8,"₹1,503",59,25,24,5.77%
SHRIPISTON,Shriram Pistons & Rings Ltd,1963,"₹10,638 Cr",Mid Cap,Consumer Cyclical,Automobiles & Auto Parts,"₹2,415",0.30%,"₹1,663","₹2,610",45.26%,-7.47%,"₹2,416","₹2,431","₹2,122",0.30%,1.98%,-3.73%,13.83%,20.66%,36.06%,485.70%,718.70%,69341,72085,58127,101901,82783,-31.95%,-29.26%,-42.96%,-16.24%,-12.92%,-29.78%,23.09%,0.7,"₹2,408",21,115,115,
DRCSYSTEMS,DRC Systems India Ltd,2012,₹237 Cr,Micro Cap,Technology,Software & IT Services,₹18,0.00%,₹16,₹35,9.54%,-49.31%,₹19,₹19,₹23,0.00%,-2.59%,-8.39%,-16.48%,-35.67%,-31.19%,101.71%,,19959,24954,100090,233443,262244,-91.45%,-89.31%,-57.12%,-92.39%,-90.48%,-61.83%,-10.98%,0.1,₹18,16,1,1,
BSHSL,Bombay Super Hybrid Seeds Ltd,2014,"₹1,401 Cr",Small Cap,Consumer Defensive,Food & Tobacco,₹134,-1.21%,₹116,₹208,15.30%,-35.80%,₹137,₹138,₹142,-1.81%,-4.44%,-5.90%,8.22%,-23.31%,-28.24%,214.73%,,15403,15400,16430,45582,42018,-66.21%,-66.21%,-63.96%,-63.34%,-63.35%,-60.90%,8.48%,0.3,₹135,51,3,3,3.97%
BLS,BLS International Services Ltd,1983,"₹16,476 Cr",Mid Cap,Industrials,Professional & Commercial Services,₹398,3.56%,₹308,₹522,29.15%,-23.71%,₹379,₹380,₹399,3.56%,6.82%,5.50%,15.96%,-9.21%,3.38%,238.38%,1635.40%,8743906,4049563,2354194,2592517,3168465,237.27%,56.20%,-9.19%,175.97%,27.81%,-25.70%,-18.18%,3.4,₹384,32,12,12,
ROLEXRINGS,Rolex Rings Ltd,2003,"₹3,798 Cr",Small Cap,Industrials,"Machinery, Equipment & Components","₹1,395",-0.73%,"₹1,210","₹2,794",15.22%,-50.09%,"₹1,484","₹1,529","₹1,628",-0.73%,-2.56%,-10.96%,13.30%,-19.59%,-38.97%,-22.69%,,8609,8018,14477,22250,25530,-61.31%,-63.96%,-34.93%,-66.28%,-68.59%,-43.29%,-12.85%,0.4,"₹1,405",22,64,64,
BRITANNIA,Britannia Industries Ltd,1918,"₹135,651 Cr",Large Cap,Consumer Defensive,Food & Tobacco,"₹5,640",-2.54%,"₹4,506","₹6,470",25.17%,-12.83%,"₹5,744","₹5,684","₹5,217",-2.54%,0.25%,-4.15%,4.62%,12.16%,-3.66%,55.31%,43.34%,380387,267340,248505,260190,354358,46.20%,2.75%,-4.49%,7.35%,-24.56%,-29.87%,-26.57%,1.5,"₹5,787",62,90,90,
KSOLVES,Ksolves India Ltd,2014,₹759 Cr,Small Cap,Technology,Software & IT Services,₹324,1.54%,₹311,₹549,4.25%,-41.04%,₹341,₹340,₹423,1.54%,-1.13%,-9.32%,-0.89%,-34.47%,-36.02%,,,18703,32220,133221,90583,97013,-79.35%,-64.43%,47.07%,-80.72%,-66.79%,37.32%,-6.63%,0.2,₹319,24,13,13,
SKMEGGPROD,SKM Egg Products Export India Ltd,1995,₹832 Cr,Small Cap,Consumer Defensive,Food & Tobacco,₹316,1.99%,₹154,₹320,105.10%,-1.40%,₹295,₹264,₹226,1.99%,7.98%,19.14%,66.17%,41.84%,22.19%,372.12%,768.91%,81143,56501,64020,85521,72629,-5.12%,-33.93%,-25.14%,11.72%,-22.21%,-11.85%,17.75%,0.9,₹310,24,13,13,
VOLTAMP,Voltamp Transformers Limited,1967,"₹8,599 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components","₹8,498",-0.83%,"₹6,051","₹14,800",40.44%,-42.58%,"₹9,256","₹9,051","₹8,604",-0.83%,-8.48%,-9.70%,11.68%,15.45%,-34.51%,156.68%,680.38%,27006,33761,35266,44643,55865,-39.51%,-24.38%,-21.00%,-51.66%,-39.57%,-36.87%,-20.09%,0.6,"₹8,569",26,322,322,0.03%
ESABINDIA,ESAB India Ltd,1987,"₹8,031 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components","₹5,264",-0.32%,"₹4,133","₹6,799",27.36%,-22.58%,"₹5,415","₹5,256","₹5,237",-0.32%,-1.95%,-0.14%,13.90%,7.73%,-16.94%,71.13%,292.43%,2350,2396,4520,3949,5198,-40.49%,-39.33%,14.45%,-54.79%,-53.90%,-13.05%,-24.02%,0.6,"₹5,281",46,114,114,
MAZDOCK,Mazagon Dock Shipbuilders Ltd,1934,"₹114,973 Cr",Large Cap,Industrials,Aerospace & Defense,"₹2,847",2.90%,"₹1,918","₹3,775",48.45%,-24.57%,"₹2,972","₹3,186","₹2,638",2.90%,4.67%,-13.10%,0.98%,29.65%,22.70%,1917.29%,,1746787,1524386,1439991,3525937,4013979,-50.46%,-56.77%,-59.16%,-56.48%,-62.02%,-64.13%,-12.16%,0.5,"₹2,767",53,54,60,-10.11%
GEEKAYWIRE,Geekay Wires Ltd,1989,₹344 Cr,Micro Cap,Industrials,"Machinery, Equipment & Components",₹66,-1.08%,₹63,₹148,4.15%,-55.47%,₹69,₹71,₹83,-1.08%,-0.03%,-4.98%,-4.61%,-24.24%,-28.97%,347.08%,272.65%,34183,44955,67729,95260,91147,-64.12%,-52.81%,-28.90%,-62.50%,-50.68%,-25.69%,4.51%,0.4,₹67,10,7,7,
POLYCAB,Polycab India Ltd,1996,"₹104,305 Cr",Large Cap,Industrials,"Machinery, Equipment & Components","₹6,930",0.14%,"₹4,555","₹7,605",52.13%,-8.88%,"₹6,857","₹6,479","₹6,199",0.14%,-0.47%,3.43%,20.20%,16.19%,8.05%,193.57%,722.54%,208115,343701,382072,336516,569807,-38.16%,2.14%,13.54%,-63.48%,-39.68%,-32.95%,-40.94%,0.6,"₹6,920",47,147,147,
CLEAN,Clean Science and Technology Ltd,2003,"₹12,957 Cr",Mid Cap,Basic Materials,Chemicals,"₹1,217",1.17%,"₹1,106","₹1,689",10.00%,-27.93%,"₹1,328","₹1,411","₹1,344",1.17%,-1.93%,-17.02%,2.08%,-18.13%,-21.56%,-24.37%,,51975,71125,125723,137514,121456,-62.20%,-48.28%,-8.57%,-57.21%,-41.44%,3.51%,13.22%,0.4,"₹1,203",48,25,25,
ICEMAKE,Ice Make Refrigeration Ltd,2009,"₹1,234 Cr",Small Cap,Industrials,"Machinery, Equipment & Components",₹782,-0.78%,₹575,"₹1,089",35.96%,-28.17%,₹792,₹800,₹804,-0.78%,0.71%,-1.01%,-2.22%,8.51%,-10.43%,373.08%,,7221,13466,16932,46236,63599,-84.38%,-70.88%,-63.38%,-88.65%,-78.83%,-73.38%,-27.30%,0.2,₹788,53,15,15,
EXPLEOSOL,Expleo Solutions Ltd,1998,"₹1,808 Cr",Small Cap,Technology,Software & IT Services,"₹1,165",-0.91%,₹735,"₹1,567",58.43%,-25.68%,"₹1,225","₹1,206","₹1,140",-0.91%,-4.88%,-11.22%,42.13%,-3.23%,-8.64%,-19.74%,254.64%,5139,8072,14366,45991,40406,-88.83%,-82.45%,-68.76%,-87.28%,-80.02%,-64.44%,13.82%,0.1,"₹1,176",16,30,30,
DREAMFOLKS,Dreamfolks Services Ltd,2008,₹681 Cr,Small Cap,Industrials,Transport Infrastructure,₹128,-1.28%,₹126,₹522,1.82%,-75.53%,₹150,₹206,₹292,-1.28%,-9.59%,-28.71%,-43.47%,-64.98%,-72.03%,,,108223,95769,666521,604200,465396,-82.09%,-84.15%,10.31%,-76.75%,-79.42%,43.22%,29.82%,0.2,₹129,11,12,12,
KOTHARIPET,Kothari Petrochemicals Ltd,1989,₹959 Cr,Small Cap,Basic Materials,Chemicals,₹163,0.29%,₹132,₹267,23.12%,-39.08%,₹172,₹174,₹174,0.29%,-1.49%,-9.51%,4.70%,-7.52%,-0.64%,108.98%,918.13%,61743,67290,59640,74412,86133,-17.03%,-9.57%,-19.85%,-28.32%,-21.88%,-30.76%,-13.61%,0.8,₹162,15,11,11,
SHANTIGEAR,Shanthi Gears Ltd,1972,"₹4,166 Cr",Small Cap,Industrials,"Machinery, Equipment & Components",₹543,0.57%,₹399,₹668,36.09%,-18.71%,₹541,₹519,₹496,0.57%,-7.08%,8.63%,12.83%,9.70%,-8.27%,129.89%,511.49%,22358,101492,126247,73969,56619,-69.77%,37.21%,70.68%,-60.51%,79.25%,122.98%,30.64%,0.3,₹540,43,13,13,1.12%
SOLARINDS,Solar Industries India Ltd,1995,"₹134,928 Cr",Large Cap,Basic Materials,Chemicals,"₹14,940",4.00%,"₹8,483","₹17,820",76.13%,-16.16%,"₹14,992","₹16,068","₹12,115",4.00%,3.24%,-10.63%,13.89%,53.23%,46.69%,376.53%,1445.70%,182223,174261,141443,188629,149960,-3.40%,-7.62%,-25.02%,21.51%,16.20%,-5.68%,25.79%,1.0,"₹14,366",112,134,134,
GRINFRA,G R Infraprojects Ltd,1995,"₹12,093 Cr",Mid Cap,Industrials,Construction & Engineering,"₹1,250",1.54%,₹901,"₹1,775",38.73%,-29.58%,"₹1,257","₹1,284","₹1,274",1.54%,0.20%,-2.89%,17.44%,2.88%,-21.79%,-5.55%,,21691,19599,28981,51220,123961,-57.65%,-61.74%,-43.42%,-82.50%,-84.19%,-76.62%,-58.68%,0.4,"₹1,231",30,42,42,
ASIANPAINT,Asian Paints Ltd,1945,"₹233,401 Cr",Mega Cap,Basic Materials,Chemicals,"₹2,435",-0.61%,"₹2,125","₹3,395",14.60%,-28.28%,"₹2,407","₹2,340","₹2,355",-0.61%,1.39%,-0.32%,5.75%,3.42%,-21.50%,-29.60%,34.80%,659094,1402168,982363,1182096,1147176,-44.24%,18.62%,-16.90%,-42.55%,22.23%,-14.37%,3.04%,0.6,"₹2,450",65,38,38,-1.93%
HGINFRA,HG Infra Engineering Ltd,2003,"₹6,690 Cr",Mid Cap,Industrials,Construction & Engineering,"₹1,029",-0.34%,₹929,"₹1,665",10.76%,-38.24%,"₹1,069","₹1,068","₹1,188",-0.34%,-1.08%,-3.00%,-4.79%,-15.11%,-30.02%,74.51%,472.98%,34674,42834,96608,120564,110315,-71.24%,-64.47%,-19.87%,-68.57%,-61.17%,-12.43%,9.29%,0.3,"₹1,032",13,78,78,0.01%
BECTORFOOD,Mrs. Bectors Food Specialities Ltd,1995,"₹9,179 Cr",Mid Cap,Consumer Defensive,Food & Tobacco,"₹1,495",2.19%,"₹1,276","₹2,200",17.16%,-32.05%,"₹1,492","₹1,437","₹1,530",2.19%,0.80%,5.80%,4.05%,-2.25%,12.01%,334.47%,,39751,40248,101467,97097,88548,-59.06%,-58.55%,4.50%,-55.11%,-54.55%,14.59%,9.66%,0.4,"₹1,463",63,24,24,
INDRAMEDCO,Indraprastha Medical Corporation Ltd,1988,"₹4,132 Cr",Small Cap,Healthcare,Healthcare Providers & Services,₹448,-1.43%,₹250,₹572,79.03%,-21.64%,₹476,₹452,₹438,-1.43%,-3.39%,-11.86%,17.04%,-0.63%,44.09%,613.13%,710.49%,91425,130855,164751,267129,254725,-65.78%,-51.01%,-38.33%,-64.11%,-48.63%,-35.32%,4.87%,0.3,₹455,26,18,18,
RADIANTCMS,Radiant Cash Management Services Ltd,2005,₹640 Cr,Small Cap,Industrials,Professional & Commercial Services,₹60,-2.38%,₹49,₹90,21.51%,-33.26%,₹60,₹63,₹67,-2.38%,5.91%,-4.70%,-5.03%,-9.90%,-28.89%,,,291386,735956,385191,325683,499306,-10.53%,125.97%,18.27%,-41.64%,47.40%,-22.85%,-34.77%,0.9,₹61,14,4,4,
SIGMA,Sigma Solve Ltd,2010,₹417 Cr,Micro Cap,Technology,Software & IT Services,₹408,2.51%,₹210,₹432,94.10%,-5.53%,₹383,₹378,₹329,2.51%,6.48%,8.44%,36.69%,31.89%,7.09%,,,10479,8605,4764,14730,19809,-28.86%,-41.59%,-67.66%,-47.10%,-56.56%,-75.95%,-25.64%,0.7,₹398,22,19,19,
SESHAPAPER,Seshasayee Paper and Boards Ltd,1960,"₹1,660 Cr",Small Cap,Basic Materials,Paper & Forest Products,₹263,-2.14%,₹256,₹373,2.71%,-29.52%,₹286,₹290,₹289,-2.14%,-5.70%,-14.16%,-0.64%,-7.94%,-20.73%,3.74%,78.26%,25192,20910,24630,28700,24933,-12.22%,-27.14%,-14.18%,1.04%,-16.14%,-1.21%,15.11%,0.9,₹269,18,15,15,
TNPL,Tamilnadu Newsprint & Papers Ltd,1979,"₹1,066 Cr",Small Cap,Basic Materials,Paper & Forest Products,₹154,-1.77%,₹116,₹251,33.33%,-38.57%,₹166,₹166,₹160,-1.77%,-2.89%,-17.11%,19.15%,-7.68%,-36.25%,-38.99%,34.79%,48473,61916,148971,171273,200457,-71.70%,-63.85%,-13.02%,-75.82%,-69.11%,-25.68%,-14.56%,0.3,₹157,,-4,1,-785.19%
NH,Narayana Hrudayalaya Ltd,2000,"₹36,646 Cr",Large Cap,Healthcare,Healthcare Providers & Services,"₹1,808",-1.17%,"₹1,171","₹2,370",54.42%,-23.71%,"₹1,955","₹1,923","₹1,592",-1.17%,-8.79%,-9.14%,1.04%,34.27%,48.41%,174.13%,494.44%,339817,491483,344864,498882,810054,-31.88%,-1.48%,-30.87%,-58.05%,-39.33%,-57.43%,-38.41%,0.7,"₹1,830",47,39,39,
JWL,Jupiter Wagons Ltd,1979,"₹14,492 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components",₹345,1.04%,₹270,₹595,27.74%,-42.03%,₹361,₹380,₹403,1.04%,-1.00%,-8.43%,1.37%,-1.67%,-37.53%,487.15%,,675822,473541,460753,1883244,2787029,-64.11%,-74.86%,-75.53%,-75.75%,-83.01%,-83.47%,-32.43%,0.4,₹341,,,,
BAFNAPH,Bafna Pharmaceuticals Ltd,1995,₹199 Cr,Micro Cap,Healthcare,Pharmaceuticals,₹85,-4.42%,₹69,₹95,22.90%,-10.73%,₹87,₹82,₹79,-1.40%,-5.78%,-2.76%,12.56%,4.95%,0.95%,-22.91%,260.85%,1881,2455,4452,5280,4170,-64.38%,-53.51%,-15.68%,-54.89%,-41.13%,6.76%,26.62%,0.4,₹89,48,2,2,
ACI,Archean Chemical Industries Ltd,2009,"₹7,869 Cr",Mid Cap,Basic Materials,Chemicals,₹638,0.02%,₹408,₹832,56.12%,-23.38%,₹672,₹647,₹615,0.02%,-0.36%,0.46%,9.85%,11.71%,-10.10%,,,199252,198020,205405,205889,447373,-3.22%,-3.82%,-0.24%,-55.46%,-55.74%,-54.09%,-53.98%,1.0,₹637,50,13,13,-2.97%
SCHNEIDER,Schneider Electric Infrastructure Ltd,2011,"₹24,994 Cr",Large Cap,Industrials,"Machinery, Equipment & Components","₹1,034",0.17%,₹540,"₹1,052",91.44%,-1.73%,₹915,₹833,₹728,0.17%,13.64%,26.37%,85.70%,60.80%,31.08%,779.83%,1251.37%,118962,227731,124393,474409,415726,-74.92%,-52.00%,-73.78%,-71.38%,-45.22%,-70.08%,14.12%,0.3,"₹1,032",92,11,11,
GRAVITA,Gravita India Limited,1992,"₹12,928 Cr",Mid Cap,Basic Materials,Metals & Mining,"₹1,782",-1.26%,"₹1,380","₹2,700",29.16%,-34.00%,"₹1,782","₹1,799","₹1,935",-1.26%,-4.57%,-2.98%,-2.79%,-10.62%,4.13%,534.84%,3336.84%,168789,334607,325113,393194,401158,-57.07%,-14.90%,-17.31%,-57.92%,-16.59%,-18.96%,-1.99%,0.4,"₹1,805",37,48,45,6.10%
SWARAJENG,Swaraj Engines Ltd,1985,"₹4,853 Cr",Small Cap,Consumer Cyclical,Automobiles & Auto Parts,"₹3,995",-0.70%,"₹2,517","₹4,720",58.72%,-15.36%,"₹4,262","₹4,117","₹3,550",-0.70%,-3.12%,-5.90%,-0.22%,25.24%,39.63%,154.32%,171.98%,10913,22233,74179,40444,34381,-73.02%,-45.03%,83.41%,-68.26%,-35.33%,115.76%,17.64%,0.3,"₹4,023",28,142,142,
DPWIRES,D P Wires Ltd,1998,₹330 Cr,Micro Cap,Basic Materials,Metals & Mining,₹215,-0.92%,₹186,₹449,15.54%,-52.13%,₹226,₹233,₹275,-0.92%,-3.00%,-12.30%,9.59%,-22.57%,-49.47%,-15.75%,352.71%,4946,10001,10915,23406,26356,-78.87%,-57.27%,-53.37%,-81.23%,-62.06%,-58.59%,-11.19%,0.2,₹217,15,14,14,
ASHAPURMIN,Ashapura Minechem Ltd,1982,"₹4,986 Cr",Small Cap,Basic Materials,Metals & Mining,₹522,1.14%,₹200,₹587,160.41%,-11.07%,₹525,₹457,₹402,1.14%,-4.17%,18.96%,57.82%,4.72%,53.28%,367.32%,1058.71%,306426,314883,696145,533897,427670,-42.61%,-41.02%,30.39%,-28.35%,-26.37%,62.78%,24.84%,0.6,₹516,17,31,31,
JAIBALAJI,Jai Balaji Industries Ltd.,1999,"₹9,997 Cr",Mid Cap,Basic Materials,Metals & Mining,₹109,-1.99%,₹99,₹236,10.04%,-53.81%,₹118,₹114,₹147,-1.99%,-4.49%,-14.30%,-6.36%,-18.56%,-38.73%,1097.91%,2645.84%,272906,328302,948440,2169531,1475058,-87.42%,-84.87%,-56.28%,-81.50%,-77.74%,-35.70%,47.08%,0.1,₹111,18,6,6,
KPITTECH,KPIT Technologies Ltd,2018,"₹32,889 Cr",Large Cap,Technology,Software & IT Services,"₹1,210",-0.57%,"₹1,021","₹1,921",18.57%,-37.01%,"₹1,251","₹1,297","₹1,329",-0.57%,-0.68%,-4.75%,-4.96%,-14.77%,-28.48%,127.72%,1436.63%,336953,1500810,840191,1128546,1203596,-70.14%,32.99%,-25.55%,-72.00%,24.69%,-30.19%,-6.24%,0.3,"₹1,217",41,30,31,-3.91%
DEVIT,Dev Information Technology Ltd,1997,₹252 Cr,Micro Cap,Technology,Software & IT Services,₹112,0.14%,₹94,₹191,18.66%,-41.34%,₹114,₹111,₹130,0.14%,-0.57%,-4.66%,13.91%,-26.07%,-7.03%,12.16%,,23496,28597,43527,62364,79020,-62.32%,-54.14%,-30.20%,-70.27%,-63.81%,-44.92%,-21.08%,0.4,₹112,17,7,7,
VBL,Varun Beverages Ltd,1995,"₹171,870 Cr",Large Cap,Consumer Defensive,Beverages,₹509,-0.01%,₹420,₹668,21.21%,-23.87%,₹487,₹476,₹534,-0.01%,-0.70%,9.59%,4.05%,-13.30%,-13.04%,151.35%,667.85%,2223010,8489482,8846441,8481051,9207533,-73.79%,0.10%,4.31%,-75.86%,-7.80%,-3.92%,-7.89%,0.3,₹509,60,9,8,0.47%
THANGAMAYL,Thangamayil Jewellery Ltd,2000,"₹5,965 Cr",Mid Cap,Consumer Cyclical,Specialty Retailers,"₹1,919",0.77%,"₹1,523","₹2,568",25.99%,-25.26%,"₹1,892","₹1,894","₹1,904",0.77%,3.73%,-1.73%,-0.21%,2.33%,19.80%,248.42%,1079.69%,26031,37359,39093,38310,78969,-32.05%,-2.48%,2.04%,-67.04%,-52.69%,-50.50%,-51.49%,0.7,"₹1,904",53,36,42,-13.14%
BCONCEPTS,Brand Concepts Ltd,2007,₹371 Cr,Micro Cap,Consumer Cyclical,Textiles & Apparel,₹327,0.00%,₹273,₹739,19.79%,-55.72%,₹336,₹343,₹396,0.00%,0.34%,-5.04%,-8.03%,-23.11%,-40.79%,139.36%,,3067,2849,5916,10975,17710,-72.05%,-74.04%,-46.10%,-82.68%,-83.91%,-66.60%,-38.03%,0.3,₹327,57,6,6,
CREATIVE,Creative Newtech Ltd,2004,₹881 Cr,Small Cap,Industrials,Professional & Commercial Services,₹624,1.29%,₹608,"₹1,075",2.70%,-41.92%,₹646,₹669,₹790,1.29%,-3.55%,-3.68%,-8.14%,-35.06%,-8.39%,31.97%,445.80%,10378,36783,23602,19661,24444,-47.22%,87.08%,20.04%,-57.54%,50.47%,-3.44%,-19.57%,0.5,₹616,19,32,32,
LTTS,L&T Technology Services Ltd,2012,"₹44,893 Cr",Large Cap,Industrials,Construction & Engineering,"₹4,232",-0.80%,"₹3,966","₹6,000",6.71%,-29.47%,"₹4,320","₹4,360","₹4,714",-0.80%,-1.29%,-3.33%,3.53%,-23.48%,-14.12%,17.89%,165.67%,34602,36973,81399,100659,129038,-65.62%,-63.27%,-19.13%,-73.18%,-71.35%,-36.92%,-21.99%,0.3,"₹4,266",35,120,120,
ELGIEQUIP,ELGI Equipments Ltd,1960,"₹18,093 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components",₹573,1.76%,₹401,₹753,42.92%,-23.89%,₹559,₹541,₹531,1.76%,1.87%,7.71%,27.48%,5.88%,-10.56%,32.29%,574.39%,676391,306848,1237908,948063,1037187,-28.66%,-67.63%,30.57%,-34.79%,-70.42%,19.35%,-8.59%,0.7,₹563,52,11,11,
WELENT,Welspun Enterprises Ltd,1994,"₹6,519 Cr",Mid Cap,Industrials,Construction & Engineering,₹478,-2.26%,₹400,₹655,19.49%,-27.02%,₹508,₹513,₹520,-2.26%,-4.39%,-8.52%,-1.72%,-18.28%,-9.83%,328.32%,663.58%,124876,113206,115414,230945,221879,-45.93%,-50.98%,-50.03%,-43.72%,-48.98%,-47.98%,4.09%,0.5,₹489,19,25,25,
